2015-10-11 18:25:40,463 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.zgsoft.tutorials:zgsoft-tutorials-rpc-consumer:0.0.1-SNAPSHOT @ /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rpc-consumer/pom.xml.
2015-10-11 18:25:40,568 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:25:40,569 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-11 18:25:40,570 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:25:40,570 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:25:55,340 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-rpc-dubbo
2015-10-11 18:25:55,340 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2015-10-11 18:25:57,365 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:25:57,365 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:25:57,367 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 18:25:57,367 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 18:26:15,328 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/zsp/myspace/java/zgsoft-tutorials/zgsoft-tutorials-domain
2015-10-11 18:26:15,329 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
